lat,lon,ele,time,bbox
34.021526,-118.288752,90.12919518072158,2024-04-16 15:55:47,"[-119.01240284764427, 33.297875152355736, -117.56510115235572, 34.74517684764427]"
34.021566,-118.288890,91.4642141405493,2024-04-16 15:55:50,"[-119.01254084764427, 33.297915152355735, -117.56523915235574, 34.745216847644265]"
34.021470,-118.288567,92.40057468786836,2024-04-16 15:55:54,"[-119.01221784764428, 33.297819152355736, -117.56491615235574, 34.745120847644266]"
34.021553,-118.288315,91.63135995343328,2024-04-16 15:56:01,"[-119.01196584764428, 33.29790215235573, -117.56466415235573, 34.74520384764426]"
34.021452,-118.288464,91.29162885062397,2024-04-16 15:56:26,"[-119.01211484764427, 33.29780115235574, -117.56481315235574, 34.74510284764426]"
34.021578,-118.288401,91.90533726289868,2024-04-16 15:56:37,"[-119.01205184764426, 33.29792715235574, -117.56475015235571, 34.74522884764426]"
34.021503,-118.288488,91.72100736759603,2024-04-16 15:56:42,"[-119.01213884764427, 33.29785215235574, -117.56483715235572, 34.74515384764427]"
34.021594,-118.288463,91.78886562027037,2024-04-16 15:56:43,"[-119.01211384764427, 33.297943152355735, -117.56481215235573, 34.745244847644265]"
34.021560,-118.288531,93.04319773428142,2024-04-16 15:57:01,"[-119.01218184764429, 33.297909152355736, -117.56488015235574, 34.745210847644266]"
34.021578,-118.288662,93.90022918581963,2024-04-16 15:57:30,"[-119.01231284764427, 33.29792715235574, -117.56501115235572, 34.74522884764426]"
34.021656,-118.288791,94.71893250755966,2024-04-16 15:57:34,"[-119.01244184764427, 33.298005152355735, -117.56514015235572, 34.745306847644265]"
34.021700,-118.288915,95.14829721860588,2024-04-16 15:57:35,"[-119.01256584764428, 33.29804915235574, -117.56526415235574, 34.74535084764427]"
34.021684,-118.289025,94.99454752635211,2024-04-16 15:57:39,"[-119.01267584764427, 33.298033152355735, -117.56537415235574, 34.745334847644266]"
34.021624,-118.289110,95.14341330807656,2024-04-16 15:57:40,"[-119.01276084764426, 33.29797315235574, -117.56545915235571, 34.74527484764427]"
34.021548,-118.289003,94.99255377985537,2024-04-16 15:57:52,"[-119.01265384764427, 33.29789715235574, -117.56535215235573, 34.74519884764427]"
34.021516,-118.288871,95.75670640170574,2024-04-16 15:57:54,"[-119.01252184764428, 33.29786515235573, -117.56522015235574, 34.74516684764426]"
34.021528,-118.288764,96.11061754636467,2024-04-16 15:57:56,"[-119.01241484764427, 33.297877152355746, -117.56511315235572, 34.74517884764427]"
34.021528,-118.288794,95.85625337157398,2024-04-16 15:58:03,"[-119.01244484764426, 33.297877152355746, -117.56514315235572, 34.74517884764427]"
34.021575,-118.288888,97.39586393535137,2024-04-16 15:58:13,"[-119.01253884764427, 33.29792415235574, -117.56523715235573, 34.745225847644264]"
34.021599,-118.288761,97.13520633429289,2024-04-16 15:58:45,"[-119.01241184764427, 33.29794815235574, -117.56511015235574, 34.74524984764427]"
34.021564,-118.288623,98.56603171210736,2024-04-16 15:59:29,"[-119.01227384764427, 33.29791315235573, -117.56497215235572, 34.74521484764426]"
34.021673,-118.288653,101.39173414744437,2024-04-16 16:01:01,"[-119.01230384764426, 33.298022152355735, -117.56500215235572, 34.745323847644265]"
34.021594,-118.288708,103.28399620670825,2024-04-16 16:01:05,"[-119.01235884764426, 33.297943152355735, -117.56505715235573, 34.745244847644265]"
34.021721,-118.288666,105.72207462694496,2024-04-16 16:01:32,"[-119.01231684764429, 33.298070152355734, -117.56501515235574, 34.745371847644265]"
34.021641,-118.288768,106.94799658376724,2024-04-16 16:01:36,"[-119.01241884764428, 33.29799015235574, -117.56511715235574, 34.74529184764427]"
34.021546,-118.288658,108.09869866631925,2024-04-16 16:01:43,"[-119.01230884764428, 33.297895152355736, -117.56500715235573, 34.745196847644266]"
34.021499,-118.288777,108.93933623470366,2024-04-16 16:02:11,"[-119.01242784764426, 33.29784815235573, -117.56512615235572, 34.745149847644264]"
34.021527,-118.288903,108.58218118175864,2024-04-16 16:02:15,"[-119.01255384764428, 33.297876152355734, -117.56525215235574, 34.745177847644264]"
34.021582,-118.289018,108.65152542479336,2024-04-16 16:02:16,"[-119.01266884764428, 33.29793115235574, -117.56536715235573, 34.74523284764427]"
34.021607,-118.289134,108.8442251123488,2024-04-16 16:02:17,"[-119.01278484764428, 33.29795615235574, -117.56548315235574, 34.74525784764427]"
34.021689,-118.289089,108.51551606692374,2024-04-16 16:02:20,"[-119.01273984764428, 33.29803815235574, -117.56543815235574, 34.74533984764427]"
34.021551,-118.289181,108.0770263588056,2024-04-16 16:02:22,"[-119.01283184764426, 33.29790015235574, -117.56553015235572, 34.74520184764427]"
34.021646,-118.289197,106.8615956408903,2024-04-16 16:02:28,"[-119.01284784764427, 33.29799515235573, -117.56554615235574, 34.74529684764426]"
34.021683,-118.289318,106.22123072855175,2024-04-16 16:02:32,"[-119.01296884764427, 33.29803215235574, -117.56566715235573, 34.74533384764427]"
34.021723,-118.289206,106.88283155113459,2024-04-16 16:02:34,"[-119.01285684764426, 33.298072152355736, -117.56555515235571, 34.74537384764427]"
34.021726,-118.289089,107.43376642186195,2024-04-16 16:02:46,"[-119.01273984764428, 33.298075152355736, -117.56543815235574, 34.745376847644266]"
34.021564,-118.289206,106.31397388968617,2024-04-16 16:02:51,"[-119.01285684764426, 33.29791315235573, -117.56555515235571, 34.74521484764426]"
34.021582,-118.289015,106.79695427324623,2024-04-16 16:02:53,"[-119.01266584764429, 33.29793115235574, -117.56536415235576, 34.74523284764427]"
34.021506,-118.289140,106.0256015388295,2024-04-16 16:02:57,"[-119.01279084764427, 33.29785515235574, -117.56548915235574, 34.74515684764427]"
34.021637,-118.289116,106.17594280373305,2024-04-16 16:03:02,"[-119.01276684764429, 33.29798615235573, -117.56546515235574, 34.74528784764426]"
34.021667,-118.289231,106.36740248743445,2024-04-16 16:03:06,"[-119.01288184764428, 33.298016152355736, -117.56558015235574, 34.745317847644266]"
34.021746,-118.289174,107.15884575340897,2024-04-16 16:03:10,"[-119.01282484764428, 33.29809515235574, -117.56552315235574, 34.745396847644265]"
34.021663,-118.289226,107.1599196549505,2024-04-16 16:03:11,"[-119.01287684764428, 33.29801215235574, -117.56557515235575, 34.74531384764426]"
34.021579,-118.289315,107.13896626792848,2024-04-16 16:03:21,"[-119.01296584764428, 33.29792815235574, -117.56566415235574, 34.74522984764427]"
34.021706,-118.289122,109.62059412244707,2024-04-16 16:03:34,"[-119.01277284764429, 33.298055152355744, -117.56547115235574, 34.74535684764427]"
34.021645,-118.289232,109.6767825325951,2024-04-16 16:03:40,"[-119.01288284764428, 33.297994152355734, -117.56558115235575, 34.745295847644265]"
34.021725,-118.289125,110.47244984190911,2024-04-16 16:03:41,"[-119.01277584764426, 33.29807415235574, -117.56547415235572, 34.74537584764427]"
34.021693,-118.289253,110.97586856968701,2024-04-16 16:03:43,"[-119.01290384764427, 33.298042152355734, -117.56560215235572, 34.745343847644264]"
34.021699,-118.289120,111.77010154910386,2024-04-16 16:03:51,"[-119.01277084764428, 33.29804815235573, -117.56546915235573, 34.74534984764426]"
34.021586,-118.289151,111.21512306015939,2024-04-16 16:03:52,"[-119.01280184764427, 33.297935152355734, -117.56550015235572, 34.745236847644264]"
34.021613,-118.289011,111.65453100670129,2024-04-16 16:03:53,"[-119.01266184764427, 33.29796215235574, -117.56536015235574, 34.74526384764427]"
34.021642,-118.288111,114.16516632959247,2024-04-16 16:03:56,"[-119.01176184764428, 33.297991152355735, -117.56446015235574, 34.745292847644265]"
34.021381,-118.288077,113.60980875138193,2024-04-16 16:03:58,"[-119.01172784764427, 33.29773015235573, -117.56442615235574, 34.74503184764426]"
34.021443,-118.288166,114.84251590911299,2024-04-16 16:04:02,"[-119.01181684764427, 33.29779215235573, -117.56451515235572, 34.74509384764426]"
34.021488,-118.288260,115.37522145733237,2024-04-16 16:04:03,"[-119.01191084764426, 33.29783715235574, -117.56460915235571, 34.74513884764426]"
34.021504,-118.288391,115.48087964765728,2024-04-16 16:04:04,"[-119.01204184764427, 33.297853152355735, -117.56474015235572, 34.745154847644265]"
34.021557,-118.288527,116.14884978998452,2024-04-16 16:04:05,"[-119.01217784764427, 33.297906152355736, -117.56487615235572, 34.74520784764427]"
34.021677,-118.288689,116.12513161730021,2024-04-16 16:04:07,"[-119.01233984764427, 33.29802615235573, -117.56503815235573, 34.74532784764426]"
34.021727,-118.288803,116.1156717967242,2024-04-16 16:04:08,"[-119.01245384764427, 33.29807615235573, -117.56515215235572, 34.745377847644264]"
34.021757,-118.288943,116.34252622909844,2024-04-16 16:04:10,"[-119.01259384764428, 33.298106152355736, -117.56529215235574, 34.745407847644266]"
34.021752,-118.288934,115.82985841110349,2024-04-16 16:04:24,"[-119.01258484764428, 33.29810115235574, -117.56528315235573, 34.745402847644264]"
34.021876,-118.288784,115.54221626650542,2024-04-16 16:04:36,"[-119.01243484764427, 33.298225152355734, -117.56513315235573, 34.745526847644264]"
34.021947,-118.288909,115.82564323861152,2024-04-16 16:04:37,"[-119.01255984764428, 33.29829615235573, -117.56525815235574, 34.74559784764426]"
34.022041,-118.289054,116.0602882290259,2024-04-16 16:04:39,"[-119.01270484764427, 33.298390152355736, -117.56540315235573, 34.74569184764427]"
34.021929,-118.288998,116.18853173125535,2024-04-16 16:04:40,"[-119.01264884764427, 33.298278152355735, -117.56534715235573, 34.745579847644265]"
34.021826,-118.289055,116.24139607511461,2024-04-16 16:04:41,"[-119.01270584764427, 33.29817515235573, -117.56540415235573, 34.74547684764426]"
34.021791,-118.288954,115.48084005154669,2024-04-16 16:04:54,"[-119.01260484764428, 33.29814015235574, -117.56530315235574, 34.745441847644265]"
34.021712,-118.288829,113.92561467643827,2024-04-16 16:05:13,"[-119.01247984764427, 33.298061152355736, -117.56517815235573, 34.745362847644266]"
34.021579,-118.288739,110.77344274148345,2024-04-16 16:05:45,"[-119.01238984764427, 33.29792815235574, -117.56508815235573, 34.74522984764427]"
34.021488,-118.288955,104.92940375115722,2024-04-16 16:06:18,"[-119.01260584764428, 33.29783715235574, -117.56530415235574, 34.74513884764426]"
34.021587,-118.288925,90.91328473668545,2024-04-16 16:10:06,"[-119.01257584764429, 33.29793615235573, -117.56527415235576, 34.74523784764426]"
34.021641,-118.289020,92.97704868856817,2024-04-16 16:10:39,"[-119.01267084764426, 33.29799015235574, -117.56536915235571, 34.74529184764427]"
34.021675,-118.289131,95.52099799271673,2024-04-16 16:10:45,"[-119.01278184764426, 33.29802415235574, -117.56548015235572, 34.74532584764427]"
34.021747,-118.288989,98.7114688726142,2024-04-16 16:10:49,"[-119.01263984764427, 33.29809615235573, -117.56533815235572, 34.74539784764426]"
34.021590,-118.288948,102.50323566608131,2024-04-16 16:12:17,"[-119.01259884764428, 33.29793915235574, -117.56529715235574, 34.74524084764427]"
